,0
0,True
1,True
2,False
3,False
4,False
5,True
6,False
7,False
8,False
9,False
10,False
11,False
12,False
13,True
14,False
15,True
16,False
17,False
18,False
19,True
20,True
21,False
22,True
23,False
24,False
25,False
26,True
27,False
28,True
29,False
30,False
31,False
32,True
33,True
34,True
35,False
36,False
37,True
38,False
39,False
40,False
41,False
42,True
43,False
44,True
45,True
46,False
47,False
48,True
49,False
50,False
51,False
52,True
53,False
54,True
55,False
56,False
57,False
58,True
59,True
60,True
61,False
62,True
63,True
64,False
65,False
66,False
67,False
68,True
69,False
70,True
71,False
72,False
73,False
74,False
75,False
76,False
77,False
78,False
79,True
80,False
81,False
82,True
83,False
84,True
85,False
86,True
87,True
88,True
89,True
90,False
91,True
92,True
93,True
94,False
95,True
96,True
97,False
98,True
99,False
100,True
101,False
102,False
103,True
104,True
105,False
106,True
107,True
108,False
109,True
110,False
111,True
112,True
113,True
114,False
115,False
116,True
117,True
118,False
119,False
120,True
121,True
122,False
123,False
124,True
125,True
126,False
127,False
128,True
129,True
130,True
131,False
132,False
133,False
134,True
135,True
136,False
137,False
138,True
139,True
140,True
141,True
142,False
143,False
144,True
145,True
146,True
147,True
148,False
149,False
150,True
151,False
152,False
153,False
154,False
155,True
156,True
157,True
158,True
159,True
160,False
161,False
162,False
163,True
164,False
165,False
166,True
167,False
168,False
169,True
170,True
171,False
172,False
173,False
174,True
175,False
176,True
177,True
178,False
179,False
180,True
181,True
182,True
183,True
184,False
185,True
186,True
187,False
188,True
189,True
190,False
191,True
192,True
193,True
194,False
195,False
196,True
197,True
198,True
199,False
200,False
201,True
202,False
203,False
204,False
205,False
206,True
207,True
208,False
209,False
210,True
211,True
212,True
213,True
214,False
215,True
216,True
217,True
218,False
219,False
220,True
221,False
222,False
223,True
224,False
225,False
226,True
227,False
228,False
229,True
230,True
231,False
232,False
233,True
234,True
235,True
236,False
237,True
238,True
239,False
240,False
241,True
242,True
243,True
244,False
245,True
246,True
247,True
248,False
249,True
250,False
251,False
252,False
253,False
254,False
255,True
256,True
257,False
258,False
259,False
260,True
261,True
262,True
263,True
264,False
265,True
266,True
267,False
268,False
269,True
270,True
271,False
272,False
273,True
274,False
275,True
276,True
277,True
278,False
279,True
280,False
281,False
282,True
283,True
284,False
285,True
286,False
287,True
288,True
289,True
290,True
291,True
292,True
293,False
294,True
295,False
296,True
297,True
298,False
299,False
300,False
301,True
302,True
303,False
304,False
305,False
306,True
307,True
308,False
309,False
310,True
311,True
312,True
313,True
314,True
315,False
316,True
317,True
318,False
319,True
320,True
321,True
322,False
323,True
324,False
325,True
326,True
327,True
328,False
329,True
330,False
331,True
332,True
333,True
334,True
335,False
336,False
337,False
338,False
339,False
340,True
341,False
342,False
343,False
344,True
345,False
346,False
347,False
348,False
349,True
350,False
351,False
352,False
353,True
354,True
355,True
356,True
357,False
358,True
359,True
360,False
361,True
362,True
363,True
364,True
365,False
366,False
367,True
368,False
369,True
370,False
371,False
372,True
373,False
374,False
375,True
376,True
377,True
378,True
379,False
380,False
381,True
382,False
383,False
384,True
385,False
386,False
387,False
388,False
389,True
390,True
391,False
392,False
393,True
394,True
395,False
396,True
397,False
398,False
399,False
400,True
401,True
402,False
403,False
404,False
405,False
406,False
407,False
408,False
409,True
410,True
411,True
412,False
413,False
414,True
415,False
416,False
417,True
418,False
419,True
420,True
421,True
422,False
423,False
424,False
425,True
426,False
427,True
428,False
429,True
430,True
431,False
432,True
433,False
434,True
435,False
436,True
437,True
438,False
439,True
440,True
441,False
442,False
443,False
444,False
445,False
446,True
447,False
448,True
449,True
450,False
451,True
452,False
453,False
454,True
455,True
456,True
457,False
458,True
459,False
460,False
461,True
462,False
463,True
464,True
465,True
466,True
467,False
468,True
469,True
470,False
471,True
472,True
473,True
474,True
475,True
476,False
477,False
478,True
479,False
480,False
481,False
482,False
483,False
484,False
485,True
486,True
487,False
488,True
489,True
490,False
491,False
492,False
493,False
494,False
495,False
496,False
497,False
498,False
499,False
500,True
501,False
502,False
503,True
504,False
505,True
506,True
507,True
508,True
509,True
510,False
511,False
512,True
513,True
514,True
515,True
516,True
517,False
518,True
519,False
520,False
521,False
522,False
523,True
524,False
525,True
526,False
527,True
528,False
529,True
530,False
531,True
532,False
533,True
534,False
535,True
536,True
537,True
538,True
539,True
540,True
541,True
542,False
543,True
544,True
545,True
546,False
547,False
548,True
549,False
550,False
551,False
552,True
553,False
554,True
555,True
556,True
557,False
558,False
559,False
560,True
561,False
562,False
563,True
564,False
565,True
566,False
567,True
568,False
569,False
570,False
571,True
572,True
573,False
574,True
575,False
576,False
577,True
578,False
579,True
580,True
581,True
582,True
583,True
584,False
585,True
586,False
587,False
588,True
589,True
590,False
591,True
592,True
593,False
594,True
595,True
596,True
597,True
